c_Ncmp_altro;c_Ncmp_fatto;sesso_1;c_relaz_1;sesso_2;c_relaz_2;sesso_3;c_relaz_3;sesso_4;c_relaz_4;sesso_5;c_relaz_5;sesso_6;c_relaz_6;Titoccup;viaggi_ridqt;d_fin_2;povassc
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;2; ;2;0
 .;4;1;1;2;2;1;3;1;3; ; .; ; .;1; ;2;0
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;1; ;4;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;2;2;4;0
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;1; ;2;0
 .;2;2;1;1;3; ; .; ; .; ; .; ; .;1; ;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;4;1;1;2;2;1;3;2;3; ; .; ; .;4; ;2;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2;2;1;0
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;1;2;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;3; ;3;1
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;4;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;1; ;3;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;3;1;1;2;2;2;3; ; .; ; .; ; .;2; ;4;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;4;0
 .;3;1;1;2;4;1;3; ; .; ; .; ; .;2; ;2;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;1;2;3;0
 .;5;1;1;2;2;2;3;2;3;2;3; ; .;2; ;2;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;4; ;3;0
1;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;1;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;2; ;2;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;1; ;3;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;2; ;4;0
 .;4;2;1;1;2;2;3;2;3; ; .; ; .;2; ;3;0
 .;4;1;1;2;2;1;3;2;4; ; .; ; .;2; ;2;0
 .;3;2;1;2;3;2;3; ; .; ; .; ; .;2; ;1;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;2;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;1;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;4;1;1;2;2;1;3;2;3; ; .; ; .;2; ;2;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;4; ;4;0
 .;2;1;1;1;3; ; .; ; .; ; .; ; .;2; ;4;0
 .;4;1;1;2;2;2;3;1;4; ; .; ; .;2; ;1;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;2;2;3;1
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;3;2;1;1;2;2;3; ; .; ; .; ; .;2; ;3;0
 .;2;2;1;1;3; ; .; ; .; ; .; ; .;2; ;2;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;2;1
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;4; ;2;0
 .;4;1;1;2;2;2;3;2;3; ; .; ; .;2; ;2;0
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;4; ;3;0
 .;5;1;1;2;2;1;3;1;3;2;4; ; .;2; ;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;2;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;2;0
 .;3;2;1;2;3;1;3; ; .; ; .; ; .;2; ;4;0
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;1; ;4;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;2; ;3;0
 .;4;2;1;1;2;2;3;2;3; ; .; ; .;2; ;1;0
 .;4;1;1;2;2;1;3;2;3; ; .; ; .;2; ;2;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;1;0
 .;5;2;1;1;2;2;3;2;3;2;3; ; .;2; ;1;0
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;2; ;2;0
 .;2;2;1;2;3; ; .; ; .; ; .; ; .;1;2;2;1
 .;4;1;1;2;2;2;3;2;3; ; .; ; .;1; ;3;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;2; ;4;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2;2;2;0
 .;4;1;1;1;4;2;4;1;4; ; .; ; .;2; ;4;0
 .;3;1;1;2;2;2;3; ; .; ; .; ; .;2; ;3;0
 .;3;1;1;2;2;2;3; ; .; ; .; ; .;2; ;3;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;4;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;2; ;4;0
 .;3;1;1;2;2;2;3; ; .; ; .; ; .;2; ;2;0
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;2;2;2;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;1;0
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;2;0
 .;4;1;1;2;2;2;3;2;3; ; .; ; .;2;2;2;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;1; ;2;0
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;1; ;3;0
 .;4;1;1;2;2;1;3;1;3; ; .; ; .;2; ;2;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;4;1;1;2;2;1;3;2;3; ; .; ; .;2; ;4;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;3;2;3;0
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;2; ;4;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;1;2;2;1
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;2; ;1;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;1; ;4;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;4;0
 .;4;1;1;2;2;2;3;1;3; ; .; ; .;2; ;4;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;3;1;1;1;3;2;3; ; .; ; .; ; .;1; ;3;1
 .;3;1;1;2;2;1;3; ; .; ; .; ; .;2; ;1;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;3;0
 .;2;2;1;1;2; ; .; ; .; ; .; ; .;2; ;3;0
 .;4;2;1;1;2;2;3;2;3; ; .; ; .;2; ;2;0
 .;4;1;1;2;2;2;3;1;3; ; .; ; .;2;2;3;0
 .;2;1;1;2;2; ; .; ; .; ; .; ; .;2; ;2;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;1; ;3;0
 .;3;1;1;1;4;2;4; ; .; ; .; ; .;2; ;3;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;4;0
1;1;2;1; ; .; ; .; ; .; ; .; ; .;2; ;4;0
 .;1;1;1; ; .; ; .; ; .; ; .; ; .;1;2;2;0
 .;1;2;1; ; .; ; .; ; .; ; .; ; .;1; ;3;0
 .;4;2;1;1;2;1;3;2;3; ; .; ; .;2; ;3;0
 .;2;2;1;2;3; ; .; ; .; ; .; ; .;2; ;4;0
