c_Ncmp_altro,c_Ncmp_fatto,sesso_1,c_relaz_1,pnasc_1,c_c_etacalc_1,cittad_1,staciv_1,c_titstu_1,c_ateco_1,c_pospro_1,orario_1,rapp_1,c_c_redd_1,c_cond_1,sesso_2,c_relaz_2,pnasc_2,c_c_etacalc_2,cittad_2,staciv_2,c_titstu_2,c_ateco_2,c_pospro_2,orario_2,rapp_2,c_c_redd_2,c_cond_2,sesso_3,c_relaz_3,pnasc_3,c_c_etacalc_3,cittad_3,staciv_3,c_titstu_3,c_ateco_3,c_pospro_3,orario_3,rapp_3,c_c_redd_3,c_cond_3,sesso_4,c_relaz_4,pnasc_4,c_c_etacalc_4,cittad_4,staciv_4,c_titstu_4,c_ateco_4,c_pospro_4,orario_4,rapp_4,c_c_redd_4,c_cond_4,sesso_5,c_relaz_5,pnasc_5,c_c_etacalc_5,cittad_5,staciv_5,c_titstu_5,c_ateco_5,c_pospro_5,orario_5,rapp_5,c_c_redd_5,c_cond_5,sesso_6,c_relaz_6,pnasc_6,c_c_etacalc_6,cittad_6,staciv_6,c_titstu_6,c_ateco_6,c_pospro_6,orario_6,rapp_6,c_c_redd_6,c_cond_6,Titoccup,viaggi_ridqt,viaggi_no_acq,d_fin_2,povassc
 ., 1,1, 1,1,  4,1,4 , 4, ., ., , ,2,4, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,2, , ,2,0
 ., 4,1, 1,1,  3,1,2 , 2, 3, 2,1,1,1,1,2, 2,1,  3,1,2 , 3, 2, 1, , ,3,3,1, 3,1,  2,1,1 , 4, ., ., , ,3,3,1, 3,1,  1,1,1 , 3, ., ., , ,3,2, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,1, ,7,2,0
 ., 3,1, 1,2,  3,2,2 , 3, 2, 2,1,2,1,1,2, 2,2,  3,2,2 , 3, ., ., , ,3,3,1, 3,2,  2,2,1 , 4, 3, 2,1,1,1,1, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,1, , ,4,0
 ., 1,2, 1,1,  4,1,6 , 2, ., ., , ,2,3, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,2, ,7,3,0
 ., 2,2, 1,1,  4,1,2 , 3, 3, 1, , ,1,4,1, 2,1,  4,1,2 , 4, 3, 1, , ,2,4, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,2,2, ,4,0
 ., 2,2, 1,1,  3,1,5 , 4, 3, 1,1,2,1,1,1, 2,1,  3,1,1 , 4, 3, 1,1,2,1,1, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,1, , ,2,0
 ., 2,2, 1,1,  3,1,6 , 1, ., ., , ,3,3,1, 3,1,  2,1,1 , 3, ., ., , ,3,2, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,1, ,7,3,0
 ., 1,2, 1,1,  4,1,4 , 3, 3, 1, , ,2,4, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,2, , ,3,0
 ., 4,1, 1,1,  3,1,2 , 4, 3, 4, , ,1,1,2, 2,1,  3,1,2 , 4, ., ., , ,3,3,1, 3,1,  1,1,1 , 1, ., ., , ,.,.,2, 3,1,  1,1,1 , 1, ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,4, , ,2,0
 ., 2,1, 1,1,  4,1,2 , 3, ., ., , ,2,4,2, 2,1,  4,1,2 , 3, 3, 1, , ,2,4, , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,., , ., ,  ., ,  , ., ., ., , ,.,.,2,2, ,1,0
