area_istat_com_code,area,area_id,institution_id,tot
1001,Agliè,1,36310,6.0
43002,Apiro,4898,45900,6.0
17012,Barghe,2025,36158,6.0
90016,Bottidda,7593,49142,5.0
12029,Cairate,1300,42328,6.0
51010,Castel San Niccolò,4607,36922,6.0
3045,Cavaglio d'Agogna,425,50746,6.0
4066,Ceva,553,43028,6.0
16097,Fara Olivana con Sola,1863,47216,6.0
83030,Galati Mamertino,7323,45082,5.0
72023,Gravina in Puglia,6474,43884,3.0
15110,Grezzago,1691,50560,6.0
90031,Illorai,7608,46454,6.0
78074,Mandatoriccio,6855,40264,5.0
98036,Marudo,2706,45464,6.0
1152,Mezzenile,152,46176,6.0
91058,Onanì,7710,37474,5.0
80060,Platì,7073,42138,6.0
10044,Portofino,4044,47184,6.0
2114,Riva Valdobbia,374,38100,5.0
29044,San Martino di Venezze,3642,49604,5.0
82069,Sclafani Bagni,7280,48814,2.0
66094,Scontrone,5497,42956,4.0
17178,Serle,2190,41602,6.0
61091,Teano,5935,38060,2.0
57071,Turania,5156,39738,4.0
47021,Uzzano,4497,44138,6.0
81022,Valderice,7209,36166,2.0
16225,Valgoglio,1987,39976,5.0
79151,Vallefiorita,7011,35552,6.0
56046,Villa San Giovanni in Tuscia,5071,39882,6.0
33046,Villanova sull'Arda,4142,48922,6.0
62077,Vitulano,6025,45784,5.0
