area_prov_code,area_istat_prov_code,perc_f
EN,86,43.30143213310183
PA,82,41.87035187035187
ME,83,41.20918987210698
AG,84,40.90137854986199
RA,39,40.30994752911062
FE,38,39.78189449448906
RN,99,39.31642644794818
GO,31,39.093006993006995
CT,87,38.65802127947399
PI,50,38.50644437715516
CA,92,38.43071962200285
BO,37,38.407253506281705
AO,7,38.222405354758315
TP,81,37.82624560121532
MI,15,37.77483992877001
FI,48,37.675948157040594
UD,30,37.65951782715525
MO,36,37.579699096832634
PO,100,37.14195355561579
MN,20,36.97223139373221
RE,35,36.93995188614987
AR,51,36.601763961605265
FC,40,36.46914114629378
RO,29,36.3875188340297
SI,52,36.2302403478874
VE,27,35.89727428196679
PN,93,35.879003795295354
CL,85,35.74518940282487
NU,91,35.690442691721465
TV,26,35.65991383231609
TS,32,35.64797062871517
MB,108,35.19089702267698
PR,34,35.0522149120023
PU,41,34.96559530213376
SS,90,34.83200847679932
RG,88,34.65972222222222
PC,33,34.64517981646993
BT,110,34.0224765689352
PD,28,33.71634604982355
OR,95,33.49779938632315
GR,53,33.301535047435024
SP,11,33.225033146989446
LE,75,33.19385584169688
TO,1,33.15579643114403
PT,47,33.03896438958359
BS,17,33.00230168971867
RM,58,32.96061346061345
PV,18,32.95432821618779
LC,97,32.951689620718675
SU,111,32.83555870598649
AN,42,32.814071365639506
PG,54,32.801385470627736
MS,45,32.660984848484844
CR,19,32.55052865743703
TA,73,32.45127633199528
VC,2,32.28115424220854
VA,12,32.28077167617043
LU,46,32.17474760836359
SV,9,32.1595431186224
BR,74,32.06008085052203
BG,16,31.96312610273849
AL,6,31.809152377317098
VI,24,31.80817841460258
SR,89,31.371415940381457
LO,98,31.184454235529504
VR,23,31.17120434748144
BI,96,31.126746532094582
MC,43,31.123079675715925
IM,8,31.01899382668613
LI,49,30.89137027846705
NO,3,30.844147802044958
AP,44,30.52102745234002
AQ,66,30.484630225877854
BA,72,30.35322276594872
GE,10,30.293840019253622
VB,103,30.0512039466643
CO,13,29.914730656214978
AT,5,29.86110895172866
TR,55,29.805547794711877
TE,67,29.441191343152123
CE,61,29.418545714664663
CN,4,29.325770568191594
KR,101,29.187961752299984
VT,56,29.118186650514236
SO,14,28.677866802866802
FM,109,28.595020161275695
CS,78,28.572205857093785
TN,22,28.51541916879302
PE,68,28.49966493887919
MT,77,28.454767349454254
FG,71,27.928185181230674
CB,70,27.790490100616676
PZ,76,27.667504209637197
RI,57,27.62321114343173
RC,80,27.619063201500477
CH,69,27.284973273254526
LT,59,26.868844592371936
BL,25,26.809002700396142
IS,94,26.67446870135042
AV,64,26.12439309111089
SA,65,25.690181971666792
BZ,21,25.583820643920916
BN,62,25.07337263656474
FR,60,24.97266933434213
VV,102,24.065328768453767
CZ,79,23.84304012980483
